site_reach,field_date,triplicate,volume_filtered_mL,Rack_ID
RUS-1S,6/24/2022,n,18,1
blank,6/25/2022,n,NA,2
SAL-1S,6/27/2022,n,29,3
SAL-3,6/27/2022,n,19,4
SFE-M-1S,6/29/2022,n,21,5
SFE-M-3,6/29/2022,n,21,6
SFE-M-4,6/29/2022,n,20,7
blank,6/30/2022,n,NA,8
RUS-1S,7/6/2022,n,16,9
RUS-2,7/6/2022,y,15,10
RUS-2,7/6/2022,y,17,11
RUS-2,7/6/2022,y,16,12
RUS-3,7/7/2022,n,24,13
blank,7/7/2022,n,NA,14
SAL-1S,7/12/2022,n,16,15
SAL-2,7/12/2022,n,18,16
SAL-3,7/12/2022,n,20,17
blank,7/13/2022,n,NA,18
SFE-M-1S,7/14/2022,n,20,19
SFE-M-3,7/14/2022,n,16,20
SFE-M-4,7/14/2022,n,16,21
blank,7/15/2022,n,NA,22
RUS-1S,7/20/2022,n,16,23
RUS-2,7/20/2022,n,19,24
RUS-3,7/20/2022,n,18,25
blank,7/21/2022,n,NA,26
SAL-1S,7/26/2022,n,16,27
SAL-2,7/26/2022,y,14,28
SAL-2,7/26/2022,y,17,29
SAL-2,7/26/2022,y,13,30
SAL-3,7/26/2022,n,19,31
blank,7/27/2022,n,NA,32
SFE-M-1S,7/28/2022,n,17,33
SFE-M-3,7/28/2022,n,18,34
SFE-M-4,7/28/2022,n,20,35
blank,7/29/2022,n,NA,36
RUS-1S,8/2/2022,n,16,37
RUS-2,8/2/2022,n,18,38
RUS-3,8/2/2022,n,17,39
blank,8/3/2022,n,NA,40
