site_reach,field_date,triplicate,dry_sample_filter_tin_g,ash_filter_tin_g,filtered_amount_mL
SAL-1S,6/28/2023,y,1.46849,1.46174,12
SAL-1S,6/28/2023,y,1.45735,1.4514,12
SAL-1S,6/28/2023,y,1.45929,1.45298,12
SAL-2,6/28/2023,n,1.49201,1.48332,14
SAL-3,6/28/2023,n,1.49031,1.48327,14
blank,6/29/2023,n,1.42686,1.42515,NA
SAL-1S,7/13/2023,n,1.43272,1.42815,16
SAL-2,7/13/2023,n,1.44656,1.43921,17
SAL-3,7/13/2023,n,1.6271,1.60195,15
blank,7/14/2023,n,1.41555,1.41364,NA
SAL-1S,7/27/2023,n,1.47034,1.46111,19
SAL-2,7/27/2023,n,1.44808,1.44201,14
SAL-3,7/27/2023,y,1.43421,1.42958,18
SAL-3,7/27/2023,y,1.42709,1.42246,17
SAL-3,7/27/2023,y,1.44247,1.43794,16
blank,7/28/2023,n,1.42262,1.42121,NA
SAL-1S,8/10/2023,n,1.43325,1.42844,15
SAL-2,8/10/2023,n,1.43264,1.42943,16
SAL-3,8/10/2023,n,1.43572,1.43153,16
blank,8/11/2023,n,1.42431,1.42274,NA
