field_date,site,reach,sample_type,slide_rep,date_analyzed,method,microcoleus,non_algal,non_e_diatoms,e_diatoms,coccoids,green_algae,geitlerinema,leptolyngbya,tolypothrix,nostoc,calothrix,homoeothrix,anabaena,chroococcus_toxin_producing_coccoid,gloeotrichia,cylindrospermum,rivularia,oscillatoria,scytonema,unknown
7/3/2023,SFE-M,3,TM,1,3/7/2024,preserved,74.9,15,3,1,1,5,0.1,,,,,,,,,,,,,
,,,,2,,,80.8,7,3,1,2,6,0.1,0.1,,,,,,,,,,,,
,,,,3,,,83.9,7,3,1,2,3,0.1,,,,,,,,,,,,,
7/10/2023,SFE-M,3,TM,1,3/8/2024,preserved,76.9,15,5,0,1,2,,,,0.1,,,,,,,,,,
,,,,2,,,74,12,8,0,3,3,,,,,,,,,,,,,,
,,,,3,,,63.9,20,9,0,3,4,,,,0.1,,,,,,,,,,
7/17/2023,SFE-M,3,TM,1,3/14/2024,preserved,67,15,5,4,2,3,3,,,,1,,,,,,,,,
,,,,2,,,68,20,4,3,1,2,2,,,,,,,,,,,,,
,,,,3,,,66,17,4,3,2,3,2,,,,3,,,,,,,,,
7/24/2023,SFE-M,3,TM,1,11/17/2023,preserved,43,25,4,5,2,15,3,,,,,,,,,,,,,3
,,,,2,,,48,20,6,7,5,12,2,,,,,,,,,,,,,
,,,,3,,,60,10,3,4,3,14,2,,,,,,,,,,,,,4
7/31/2023,SFE-M,3,TM,1,3/18/2024,preserved,64.9,10,5,5,2,7,2,1,,,,,3,0.1,,,,,,
,,,,2,,,59.9,9,6,10,3,6,1,,,,,,5,0.1,,,,,,
,,,,3,,,61.9,6,6,11,3,5,1,,,,,,6,0.1,,,,0.1,,
8/7/2023,SFE-M,3,TM,1,3/13/2024,preserved,46.9,13,10,15,3,4,5,,,,3,,,0.1,,,,,,
,,,,2,,,63.9,11,9,8,2,3,3,,,,,,,0.1,,,,,,
,,,,3,,,51.7,15,8,8,3,8,3,,,,0.1,0.1,3,0.1,,,,,,
8/14/2023,SFE-M,3,TM,Final,8/25/2023,live,73.9,5,2,10,1,8,,,,,,,0.1,,,,,,,
8/22/2023,SFE-M,3,TM,Final,8/31/2023,live,60,8,10,10,5,4,1,,,,,,2,,,,,,,
8/28/2023,SFE-M,3,TM,Final,9/6/2023,live,78,8,3,4,1,6,,,,,,,,,,,,,,
9/4/2023,SFE-M,3,TM,Final,9/14/2023,live,73.9,9,4,6,2,5,,,,,,,0.1,,,,,,,
9/12/2023,SFE-M,3,TM,Final,9/19/2023,live,76.9,6,2,0.1,5,10,,,,,,,,,,,,,,
9/18/2023,SFE-M,3,TM,Final,9/26/2023,live,74.8,10,2,0.1,5,8,,,,,,,,,,,,,,0.1
9/24/2023,SFE-M,3,TM,Final,9/28/2023,live,69.6,10,6,2,4,8,,,,,,,,,,0.1,0.1,,0.1,0.1
