type,fake_target,field_date,site_reach,sample_type,vial_ID,site,reach,container,triplicate
DNA-mat,preliminary sample,7/28/2022,EEL-4S,MR1,511,EEL,-4S,Eppendorf,n
DNA-mat,preliminary sample,7/28/2022,EEL-3UP,MR1,505,EEL,3UP,Eppendorf,n
DNA-mat,preliminary sample,7/28/2022,EEL-3UP,CR1,503,EEL,3UP,Eppendorf,n
DNA-mat,preliminary sample,8/10/2022,EEL-4S,MR1,509,EEL,-4S,Eppendorf,n
DNA-mat,preliminary sample,8/10/2022,EEL-4S,CR1,513,EEL,-4S,Eppendorf,n
DNA-mat,preliminary sample,8/10/2022,EEL-3UP,MR1,502,EEL,3UP,Eppendorf,n
DNA-mat,preliminary sample,8/10/2022,EEL-3UP,CR1,501,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-4S,MR1,508,EEL,-4S,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-4S,CR1,510,EEL,-4S,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-4S,MR2,516,EEL,-4S,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-4S,CR2,518,EEL,-4S,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-4S,MR3,512,EEL,-4S,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-4S,CR3,515,EEL,-4S,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-NEW,MR1,521,EEL,NEW,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-NEW,CR1,522,EEL,NEW,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-NEW,MR2,556,EEL,NEW,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-NEW,CR2,558,EEL,NEW,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-NEW,MR3,546,EEL,NEW,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-NEW,CR3,534,EEL,NEW,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,MR1,500,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,CR1,504,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,MR2,523,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,CR2,507,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,CR2,506,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,CR2,520,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,MR3,517,EEL,3UP,Eppendorf,n
DNA-mat,1,8/25/2022,EEL-3UP,CR3,519,EEL,3UP,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-4S,MR1,??,EEL,-4S,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-4S,CR1,??,EEL,-4S,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-4S,MR2,540,EEL,-4S,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-4S,CR2,949,EEL,-4S,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-4S,MR3,928,EEL,-4S,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-4S,CR3,945,EEL,-4S,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,MR1,929,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,CR1,944,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,MR2,943,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,CR2,911,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,MR3,936,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,MR3,901,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,MR3,902,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,CR3,933,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,CR3,903,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-NEW,CR3,904,EEL,NEW,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-3UP,MR1,918,EEL,3UP,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-3UP,CR1,917,EEL,3UP,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-3UP,MR2,916,EEL,3UP,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-3UP,CR2,941,EEL,3UP,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-3UP,MR3,951,EEL,3UP,Eppendorf,n
DNA-mat,2,9/8/2022,EEL-3UP,CR3,950,EEL,3UP,Eppendorf,n
