field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,coccoid,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,pediastrum,stauridium,cosmarium,tetraedron,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,lyngbya,oedogonium,stigeoclonium,rivularia,gloeotrichia,coelastrum,gloeocystis,calothrix,zygnema,chroococcus_toxin_producing_coccoid,aphanothece_toxin_producing_coccoid,unknown
6/29/2022,SFE-M,1S,NT,1/5/2024,preserved,1,3,15,3,2,,5,,0.5,,,,,,,,8,3,,,1,0.1,56.4,,2,,,,1,,,,,,
,,,,,,2,2,2,3,1,,84,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,,,3,5,3,5,1,,79.8,,,,,,,,,,,,,,,,6,,,,,,0.1,,,,,,0.1
,,,,,,4,3,3,2,1,,5,,,,,,,,,,,1,,78,,,7,,,,,,,,,,,,
7/14/2022,SFE-M,1S,NT,1/3/2024,preserved,1,3,3,2,5,1,62.5,0.1,0.5,0.5,,0.1,,,,,2,2,8,10,0.1,0.1,0.1,,,,,,,,,,,,
,,,,,,2,5,2,2,3,0.1,69.2,,0.2,0.3,,0.1,,,,,0.1,1,10,7,,,,,,,,,,,,,,,
,,,,,,3,2,3,2,5,1,72.8,,0.8,0.2,0.1,,,,,,2,2,6,3,0.1,,,,,,,,,,,,,,
,,,,,,4,2,5,3,7,1,1,1,0.5,0.5,,,,,,,4,3,5,66.8,0.1,0.1,,,,,,,,,,,,,
,,,,,,5,7,12,1,5,1,,3,,0.5,,,,,,,9,2,10,45.4,1,3,,,,,,,,,0.1,,,,
7/28/2022,SFE-M,1S,NT,1/14/2024,preserved,1,12,5,1,15,0.1,1,5,0.5,0.5,,,0.1,,0.1,,6,3,20,18.5,2,,7,,3,,,,0.1,,0.1,,,,
,,,,,,2,10,7,1,17,1,1,,0.1,,,,0.1,,,,18,3,15,13.8,,,8,,5,,,,,,,,,,
,,,,,,3,15,5,2,10,0.1,55.7,,,,,,,,0.1,,4,1,7,,,,,,,,,,0.1,,,,,,
,,,,,,4,10,15,1,10,2,5,,0.1,,,,,,,,3,1,22,17.8,,,7,,,,6,,,,,,,,0.1
8/10/2022,SFE-M,1S,NT,1/18/2024,preserved,1,10,5,2,6,4,,5,0.5,0.1,,,,,,,8,2,25.3,15,1,,8,,5,,3,,,,0.1,,,,
,,,,,,2,12,4,1,7,3,,,0.1,,,,,0.1,,,4,1,37.5,13,,,10,,7,,,,0.1,,0.1,,,,0.1
,,,,,,3,15,3,2,20,5,,,,0.1,0.1,,,,,,7,3,24.8,,3,,7,,9,,,,,,,,1,,
,,,,,,4,18,3,3,8,1,,,0.5,0.5,,,,0.1,,,5,1,28.7,,1,,5,0.1,10,,15,,,,0.1,,,,
,,,,,,5,15,8,2,10,,,,0.8,0.2,,,,0.1,,,17,3,19.8,,,0.1,12,,12,,,,,,,,,,
8/23/2022,SFE-M,1S,NT,1/19/2024,preserved,1,9,10,1,10,3,,,0.1,,,,,0.1,,,6,1,49.7,,1,1,1,,,,,,0.1,,,7,,,
,,,,,,2,15,5,1,7,3,,,0.1,,,,,,,,3,1,64.8,,,,0.1,,,,,,,,,,,,
,,,,,,3,20,5,3,5,,,,,,,,,,,0.1,3,,55.9,,1,7,,,,,,,,,,,,,
,,,,,,4,10,7,1,7,4,,,,,,,,,,,,1,25,36,1,,3,,5,,,,,,,,,,
9/6/2022,SFE-M,1S,NT,1/22/2024,preserved,1,25,5,2,8,1,0.1,,0.1,0.1,,,,1,,,4,1,17.2,10,1,0.1,7,,5,0.1,7,0.1,0.1,,,5,,0.1,
,,,,,,2,8,5,3,6,3,,1,0.1,,,,,0.1,,,3,,40.8,12,3,,3,1,,,7,,,,,4,,,
,,,,,,3,15,8,3,10,4,,,0.5,,,,,1,0.1,0.1,,2,20,18,1,0.1,7,0.1,10,0.1,,,,,,,,,
,,,,,,4,10,2,2,5,3,,,0.1,,,,,0.1,,,5,,26.7,22,2,,6,,8,,5,,,,,3,0.1,,
9/17/2022,SFE-M,1S,NT,1/23/2024,preserved,1,15,7,2,8,3,,1,0.1,,,,,1,,0.1,5,2,33.7,,1,1,6,,10,1,,,,,,3,0.1,,
,,,,,,2,10,7,3,7,2,2,1,0.1,0.1,0.1,,,0.1,,,3,3,51.5,,1,6,2,,,1,,,,,,,0.1,,
,,,,,,3,20,10,3,12,5,2,1,0.5,,,0.1,,0.1,0.1,,7,5,29,,,3,2,,,,,,,0.1,,,0.1,,
,,,,,,4,15,5,3,5,3,,,0.5,,,,,0.1,0.1,,7,2,41,10,2,2,3,0.1,,1,,,0.1,,,,0.1,,
