field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,nodularia,calothrix,rivularia,nostoc,homoeothrix,phormidium_unknown,unknown
7/20/2022,RUS,1S,TAC,1,11/6/2023,preserved,12,3,3,5,1,74,,,,2,,,,,,,,
,,,,2,,,12,7,5,7,2,64,,,,3,,,,,,,,
,,,,3,,,13,10,9,8,1,55,,,,4,,,,,,,,
8/2/2022,RUS,1S,TAC,1,11/8/2023,preserved,13,8,5,7,2,62,,,,3,,,,,,,,
,,,,2,,,20,6,4,5,2,60,,,,3,,,,,,,,
,,,,3,,,10,3,4,3,1,78,,,,1,,,,,,,,
8/17/2022,RUS,1S,TAC,1,11/17/2023,preserved,23,10,15,14,5,23,,7,,3,,,,,,,,
,,,,2,,,26.9,12,17,15,4,15,0.1,6,,4,,,,,,,,
,,,,3,,,21.9,15,18,15,5,17,0.1,5,,3,,,,,,,,
9/1/2022,RUS,1S,TAC,1,11/20/2023,preserved,26.9,25,7,7,6,18,5,2,,3,,,,,,0.1,,
,,,,2,,,20,22,10,9,5,20,,2,,5,,,,,,,6,1
,,,,3,,,26,28,8,7,5,17,,1,,2,,,,,,,3,3
9/15/2022,RUS,1S,TAC,1,11/28/2023,preserved,24,15,16,8,3,26,,5,,1,,,,,,,2,
,,,,2,,,18,18,17,7,5,24.9,0.1,7,,2,,,,,,,1,
,,,,3,,,20,16,15,8,5,27.9,0.1,6,,1,,,,,,,1,
