field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,gloeotrichia,nodularia,calothrix,rivularia,nostoc,phormidium_unknown,lyngbya,unknown
7/20/2022,RUS,3,TAC,1,11/7/2023,preserved,15,7,6,5,5,59,,,,3,,,,,,,,
7/20/2022,RUS,3,TAC,2,11/7/2023,preserved,13,9,5,4,6,61,,,,2,,,,,,,,
7/20/2022,RUS,3,TAC,3,11/7/2023,preserved,15,5,4,3,5,66,,,,2,,,,,,,,
8/17/2022,RUS,3,TAC,1,11/20/2023,preserved,40,10,14,13,5,12,,,,6,,,,,,,,
8/17/2022,RUS,3,TAC,2,11/20/2023,preserved,18.9,20,17,16,5,15,0.1,,,8,,,,,,,,
8/17/2022,RUS,3,TAC,3,11/20/2023,preserved,21,18,18,17,6,14,,,,5,,,,,1,,,
9/1/2022,RUS,3,TAC,1,11/21/2023,preserved,19,5,8,7,3,45.9,0.1,1,,3,,,,,,2,,6
9/1/2022,RUS,3,TAC,2,11/21/2023,preserved,22,15,10,7,5,34.9,0.1,2,,4,,,,,,,,
9/1/2022,RUS,3,TAC,3,11/21/2023,preserved,19,13,10,5,5,32.9,0.1,,,4,,,,,,1,10,
9/15/2022,RUS,3,TAC,1,11/30/2023,preserved,16,17,10,5,9,26.9,0.1,3,,6,,,,,,7,,
9/15/2022,RUS,3,TAC,2,11/30/2023,preserved,10,23,13,5,7,25,,4,,5,,,,,,8,,
9/15/2022,RUS,3,TAC,3,11/30/2023,preserved,12,24,14,3,6,25.9,0.1,3,,7,,,,,,5,,
