field_date,site,reach,sample_type,date_analyzed,method,slide_rep,non_algal,non_e_r_diatoms,other_coccoids,epithemia,rhopalodia,nostoc,mougeotia,scenedesmus_no_spines,desmodesmus_spines,ankistrodesmus,lacunastrum,anabaena_and_cylindrospermum,geitlerinema,spirogyra,cladophora,leptolyngbya,homoeothrix,microcoleus,stigeoclonium,lyngbya,oedegonium,zygnema,oscillatoria,calothrix,coelastrum,oocystis,chroococcus,unknown_green_algae
6/28/2023,SAL,1S,NT,2/26/2024,preserved,1,92.9,4,0.1,,,,,,,,,,,,,3,,,,,,,,,,,,
,,,,,,2,84.9,8,1,,,,,,,,,,,,,6,,0.1,,,,,,,,,,
,,,,,,3,81.9,10,1,,,,,,,,,,,,,7,,0.1,,,,,,,,,,
7/13/2023,SAL,1S,NT,2/27/2024,preserved,1,96.9,2,0.1,,,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,2,92.4,5,0.5,,0.1,,,,,,,,,,,2,,,,,,,,,,,,
,,,,,,3,91.9,6,0.1,,,,,,,,,,,,,2,,,,,,,,,,,,
7/27/2023,SAL,1S,NT,2/28/2024,preserved,1,82.8,9,0.1,0.1,,,,,,,,,,,,1,,7,,,,,,,,,,
,,,,,,2,80.8,10,1,,,,,,0.1,,,,0.1,,,2,,6,,,,,,,,,,
,,,,,,3,85.9,8,0.1,,,,,,,,,,,,,1,,5,,,,,,,,,,
8/10/2023,SAL,1S,NT,2/28/2024,preserved,1,20,59.8,0.1,,,,,,0.1,,,,,3,,2,,15,,,,,,,,,,
,,,,,,2,40.8,15,0.1,,,,,,,,,,0.1,,,2,1,40,1,,,,,,,,,
,,,,,,3,42.7,14,0.1,,,,,,,,,,,,,2,0.1,41,0.1,,,,,,,,,
