field_date,site,reach,sample_type,slide_rep,date_analyzed,method,anabaena_and_cylindrospermum,non_algal,non_e_diatoms,e_diatoms,other_coccoids,green_algae,microcoleus,oscillatoria,scytonema,geitlerinema,nodularia,rivularia,calothrix,homoeothrix,nostoc,gloeotrichia,tolypothrix,leptoplyngbya,chroococcus,unknown
7/24/2023,SFE-SH,1S,TAC,1,12/6/2023,preserved,25,10,11,12,2,31.9,0.1,,,3,,5,,,,,,,,
,,,,2,,,30,15,13,11,5,20.8,0.1,0.1,,5,,,,,,,,,,
,,,,3,,,33,12,10,9,3,25,,,,3,,5,,,,,,,,
7/31/2023,SFE-SH,1S,TAC,1,3/19/2024,preserved,39.8,12,9,15,2,18,,,,3,0.1,,0.1,,,,,,1,
,,,,2,,,44,17,7,14,3,11,,,,3,,,,,,,,,1,
,,,,3,,,31.9,16,10,15,3,17,,,,5,0.1,,,,,,,1,1,
8/7/2023,SFE-SH,1S,TAC,1,3/19/2024,preserved,37.9,9,9,15,2,20,0.1,,,3,,,,,,,,1,3,
,,,,2,,,29.9,11,10,20,2,20,0.1,,,4,,,,,,,,1,2,
,,,,3,,,23.9,13,14,25,1,18,,,,4,0.1,,,,,,,1,0,
8/14/2023,SFE-SH,1S,TAC,1,12/14/2023,preserved,28,15,9,20,10,5,5,,,7,,,,,,,1,,,
,,,,2,,,6.9,14,10,16,11,7,4,0.1,,6,,,,,17,,8,,,
,,,,3,,,33.9,9,10,17,12,8,3,0.1,,7,,,,,,,,,,
8/22/2023,SFE-SH,1S,TAC,1,3/19/2024,preserved,16,6,10,15,3,35.9,7,0.1,,3,,,3,,,,,,1,
,,,,2,,,16,7,10,16,5,35.9,3,,,3,,,2,0.1,,,,1,1,
,,,,3,,,15,10,14,18,5,27.9,4,0.1,,4,,,,,,,,1,1,
9/18/2023,SFE-SH,1S,TAC,1,12/20/2023,preserved,29.9,10,5,7,3,34,6,,,5,,,,,,,0.1,,,
,,,,2,,,27.9,7,7,5,6,37,5,,,5,,,,,,,0.1,,,
,,,,3,,,22,6,7,8,4,45.8,1,0.1,,5,,,,,,,,1,0.1,
9/24/2023,SFE-SH,1S,TAC,1,12/21/2023,preserved,54,8,3,5,6,10,2,,,7,,,,,,,,5,,
,,,,2,,,32,9,12,4,5,20,3,,,8,,,,,,,,7,,
,,,,3,,,30.9,15,5,7,7,18,4,0.1,,8,,,,,,,,5,,
