"site","site_reach","year","field_date","sample_type","anabaena_and_cylindrospermum","calothrix","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","scytonema","unknown"
"RUS","RUS-1S",2022,"2022-07-20","TAC",13.2142857142857,0,7.14285714285714,3.21428571428571,0,68.9285714285714,0,0,0,0,0,6.07142857142857,0,0,1.42857142857143,0,0,0
"RUS","RUS-1S",2022,"2022-08-02","TAC",15.1943462897526,0,5.30035335689046,2.47349823321555,0,70.6713780918728,0,0,0,0,0,4.59363957597173,0,0,1.76678445229682,0,0,0
"RUS","RUS-1S",2022,"2022-08-17","TAC",27.3003802281369,0,16.7300380228137,3.80228136882129,0,20.9125475285171,0,0,0,0.0760456273764259,0,19.0114068441065,0,6.84410646387833,5.32319391634981,0,0,0
"RUS","RUS-1S",2022,"2022-09-01","TAC",32.4,0,10.2222222222222,4.44444444444444,0,24.4444444444444,0.0444444444444444,0,0,2.22222222222222,0,11.1111111111111,0,2.22222222222222,7.11111111111111,4,0,1.77777777777778
"RUS","RUS-1S",2022,"2022-09-15","TAC",24.7011952191235,0,9.16334661354582,1.59362549800797,0,31.394422310757,0,0,0,0.0796812749003984,0,19.1235059760956,0,7.17131474103586,5.1792828685259,1.59362549800797,0,0
"RUS","RUS-2",2022,"2022-07-20","TAC",23.8434163701068,0,5.69395017793594,4.62633451957295,0,57.1886120996441,0,0,0,0.106761565836299,0,7.47330960854093,0,0,1.06761565836299,0,0,0
"RUS","RUS-2",2022,"2022-08-02","TAC",29.6577946768061,0,5.32319391634981,1.90114068441065,0,48.6692015209126,0,0,0,0,0,6.08365019011407,6.08365019011407,0,2.28136882129278,0,0,0
"RUS","RUS-2",2022,"2022-08-17","TAC",40.6666666666667,0,11.5555555555556,9.77777777777778,0,18.2222222222222,0,0,0,0.0888888888888889,0,15.5555555555556,0,0.133333333333333,4,0,0,0
"RUS","RUS-2",2022,"2022-09-01","TAC",36.2780269058296,0,8.07174887892377,4.03587443946188,0,31.390134529148,0,0,0,0.493273542600897,0,8.07174887892377,0,1.34529147982063,4.93273542600897,5.38116591928251,0,0
"RUS","RUS-2",2022,"2022-09-15","TAC",27.6515151515151,0,3.78787878787879,6.43939393939394,0,33.2954545454545,0,0,0,0.0378787878787879,0,14.0151515151515,0,1.89393939393939,7.95454545454545,4.92424242424242,0,0
"RUS","RUS-3",2022,"2022-07-20","TAC",15.4121863799283,0,4.3010752688172,2.5089605734767,0,66.6666666666667,0,0,0,0,0,5.37634408602151,0,0,5.73476702508961,0,0,0
"RUS","RUS-3",2022,"2022-08-02","TAC",20.7272727272727,0,5.81818181818182,2.90909090909091,0,59.6363636363636,0,0,0,0,0,7.27272727272727,0,0,3.63636363636364,0,0,0
"RUS","RUS-3",2022,"2022-08-17","TAC",31.7063492063492,0,18.2539682539683,7.53968253968254,0,16.2698412698413,0,0,0,0.0396825396825397,0,19.4444444444444,0.396825396825397,0,6.34920634920635,0,0,0
"RUS","RUS-3",2022,"2022-09-01","TAC",22.4719101123595,0,7.11610486891386,4.11985018726592,0,42.5842696629214,0,0,3.74531835205993,0.112359550561798,0,10.4868913857678,0,1.12359550561798,4.8689138576779,1.12359550561798,0,2.24719101123596
"RUS","RUS-3",2022,"2022-09-15","TAC",16.1016949152542,0,5.50847457627119,7.6271186440678,0,32.9661016949153,0,0,0,0.0847457627118644,0,15.6779661016949,0,4.23728813559322,9.32203389830508,8.47457627118644,0,0
"SAL","SAL-3",2022,"2022-09-22","TAC",23.109243697479,0,10.5042016806723,7.98319327731093,0,33.0252100840336,0,0,0,0.126050420168067,0,15.546218487395,0,0.420168067226891,9.2436974789916,0.0420168067226891,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-14","TAC",26.9896193771626,0,15.916955017301,1.73010380622837,0,37.5432525951557,0,0,0,0.0692041522491349,0.0692041522491349,14.878892733564,0.0346020761245675,0,2.7681660899654,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-28","TAC",22.7611940298507,0,17.1641791044776,3.35820895522388,0,44.2910447761194,0,0,0,0.111940298507463,0,11.1940298507463,0,0,1.11940298507463,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-10","TAC",56.5949820788531,0,5.01792114695341,5.37634408602151,0,12.5448028673835,0,0,0,11.1111111111111,0,5.37634408602151,0,0.03584229390681,3.9426523297491,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-06","TAC",18.5770750988142,0,9.09090909090909,1.18577075098814,0,35.1383399209486,0,0,0,0.0395256916996047,0,19.3675889328063,9.09090909090909,0,7.5098814229249,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-17","TAC",16.7910447761194,1.86567164179105,6.71641791044776,5.22388059701493,0.746268656716418,45.5223880597015,0,0,0,0,0,11.5671641791045,1.49253731343284,1.86567164179105,6.71641791044776,0,1.49253731343284,0
"SFE-M","SFE-M-3",2022,"2022-07-14","TAC",29.4776119402985,0,13.8059701492537,4.85074626865672,0,27.3880597014925,0,0,0.0746268656716418,0.783582089552239,0.0746268656716418,13.4328358208955,0.373134328358209,0,9.70149253731343,0,0,0.0373134328358209
"SFE-M","SFE-M-3",2022,"2022-07-28","TAC",26.6666666666667,0,11.4814814814815,4.81481481481481,0,38.4074074074074,0,0,0,2.22222222222222,0,10.3703703703704,0.37037037037037,0.111111111111111,5.55555555555556,0,0,0
"SFE-M","SFE-M-3",2022,"2022-08-10","TAC",51.2359550561798,0,13.1086142322097,2.62172284644195,0,10.8614232209738,0,0,0,0.449438202247191,0,13.8576779026217,0,0,7.86516853932584,0,0,0
"SFE-M","SFE-M-3",2022,"2022-08-23","TAC",16.4874551971326,0,9.67741935483871,3.584229390681,0,56.8458781362007,0,0,0,0.10752688172043,0.03584229390681,8.96057347670251,0,0,4.3010752688172,0,0,0
"SFE-M","SFE-M-4",2022,"2022-07-14","TAC",16.3763066202091,0,9.05923344947735,2.78745644599303,0,61.2543554006969,0,0,0,0.0348432055749129,0.0348432055749129,8.01393728222996,0,0,2.4390243902439,0,0,0
"SFE-M","SFE-M-4",2022,"2022-07-28","TAC",37.6811594202899,0,12.3188405797101,4.34782608695652,0,26.7753623188406,0,0,0,1.08695652173913,0,11.231884057971,0,0.036231884057971,6.52173913043478,0,0,0
"SFE-M","SFE-M-4",2022,"2022-08-10","TAC",25.296442687747,0,11.4624505928854,9.09090909090909,0,28.8537549407115,0,0.395256916996047,0,7.11462450592885,0,10.6719367588933,0,0,7.11462450592885,0,0,0
